,loan_amnt,emp_length,home_ownership,annual_inc,loan_status,addr_state,dti,revol_util,total_acc,chargeoff_within_12_mths,pub_rec_bankruptcies,total_bal_ex_mort,approval
42509,12000.0,4.0,RENT,60000.0,Fully Paid,NC,4.62,24.0,18.0,0.0,0.0,7137.0,0
42510,4800.0,2.0,MORTGAGE,39600.0,Fully Paid,TX,2.49,16.1,8.0,0.0,0.0,4136.0,0
42513,14000.0,4.0,RENT,88000.0,Fully Paid,NC,10.02,81.9,14.0,0.0,1.0,17672.0,0
42516,7550.0,3.0,RENT,28000.0,Fully Paid,CA,8.4,72.0,5.0,0.0,0.0,5759.0,0
42521,12000.0,10.0,RENT,40000.0,Fully Paid,NM,16.94,68.8,32.0,0.0,0.0,13605.0,0
42522,9750.0,1.0,RENT,26000.0,Fully Paid,CA,25.12,52.8,28.0,0.0,0.0,14123.0,0
42523,11500.0,4.0,RENT,32760.0,Fully Paid,CA,27.06,70.9,17.0,0.0,0.0,24724.0,0
42525,8000.0,2.0,MORTGAGE,33000.0,Charged Off,CO,15.75,34.6,16.0,0.0,1.0,15949.0,1
42526,15000.0,10.0,RENT,98000.0,Fully Paid,NY,6.15,22.3,16.0,0.0,0.0,13038.0,0
42527,10000.0,7.0,MORTGAGE,102000.0,Fully Paid,MA,15.55,44.4,22.0,0.0,0.0,39143.0,0
42528,20800.0,10.0,RENT,81500.0,Fully Paid,NY,16.73,54.5,41.0,0.0,0.0,23473.0,0
42529,3000.0,10.0,RENT,25000.0,Fully Paid,FL,24.68,54.2,26.0,0.0,2.0,19530.0,0
42530,10000.0,5.0,RENT,25000.0,Charged Off,NY,27.03,46.9,22.0,0.0,0.0,24419.0,1
42531,7200.0,4.0,OWN,70000.0,Fully Paid,CA,19.2,35.5,49.0,0.0,1.0,45598.0,0
42541,18450.0,10.0,RENT,65000.0,Charged Off,FL,15.84,49.1,32.0,0.0,0.0,23136.0,1
42542,4500.0,10.0,RENT,105000.0,Fully Paid,TX,16.23,93.1,10.0,0.0,0.0,40100.0,0
